attendance_percentage,avg_unit_marks,sir_term_test_avg,school_term_test_avg,homework_completion_rate,behavior_score,final_grade
87.77,58.66,87.02,78.09,74.25,78.61,B
70.44,46.81,84.74,86.87,52.32,72.69,C
72.85,64.35,61.29,78.83,55.06,62.3,C
93.55,55.75,34.74,47.33,63.4,98.32,S
88.87,87.95,76.4,78.82,56.24,72.02,B
60.15,60.79,73.68,60.96,96.23,57.88,C
82.5,40.03,61.88,74.29,65.71,83.27,C
60.6,31.73,71.14,96.37,50.08,93.33,C
75.65,38.29,37.37,58.35,61.91,55.31,S
49.59,48.07,63.88,57.86,59.98,78.03,S
90.6,72.88,57.57,78.42,50.8,71.63,B
71.98,40.26,51.6,20.0,100.0,60.94,W
98.79,65.76,71.3,47.25,74.16,84.76,C
84.97,80.5,52.63,47.43,38.12,82.85,C
91.24,97.32,66.1,41.14,36.06,90.63,C
48.06,58.19,55.51,56.47,70.72,77.07,S
38.77,65.29,20.0,74.11,58.9,42.64,S
62.79,53.6,83.81,62.33,76.89,92.72,C
73.56,80.08,73.68,29.7,99.46,53.7,C
88.76,34.66,72.02,98.96,65.74,71.15,B
84.16,58.41,96.37,62.23,63.6,66.9,B
61.01,52.44,52.99,47.27,56.84,100.0,S
59.55,67.93,71.85,71.86,68.83,71.39,C
81.77,70.33,54.82,23.64,60.64,57.8,S
64.99,65.66,67.17,97.17,59.25,86.62,B
79.59,90.92,71.52,35.81,35.54,79.67,C
67.07,45.39,34.65,61.54,100.0,68.87,S
83.85,62.95,34.21,74.17,48.11,75.32,C
69.88,82.86,38.84,66.6,53.2,67.33,C
30.0,100.0,71.01,41.12,47.51,67.57,C
85.75,27.16,57.17,96.95,47.32,76.21,C
100.0,77.64,62.52,69.15,61.98,94.49,B
69.01,25.82,52.17,36.73,64.38,71.11,W
92.96,78.91,65.27,57.94,48.82,42.28,C
76.7,80.89,57.83,46.23,79.29,73.75,C
100.0,89.65,79.19,74.67,44.2,84.94,A
80.64,77.13,69.85,67.96,100.0,73.86,B
89.05,55.58,75.81,78.67,77.29,100.0,B
61.74,55.26,64.25,77.38,73.59,94.29,C
65.07,42.19,66.16,56.3,80.86,74.59,S
69.9,63.5,60.58,51.29,65.94,68.95,C
87.85,68.88,100.0,61.54,58.98,100.0,B
81.2,84.8,71.84,71.71,80.71,58.47,B
80.51,38.5,56.51,42.04,77.15,80.01,S
82.22,70.75,47.86,52.26,88.41,91.02,C
57.8,34.38,45.46,80.99,94.3,61.13,S
79.61,100.0,68.31,89.27,89.97,61.35,A
72.15,65.7,62.08,78.16,78.17,30.96,C
55.31,21.25,63.51,63.29,75.66,60.62,S
85.11,79.33,34.9,25.75,70.0,100.0,S
100.0,76.27,45.4,77.51,60.95,63.49,B
42.84,67.05,47.4,60.12,24.01,77.55,S
38.53,86.76,70.44,51.87,81.25,60.33,C
76.09,80.9,20.0,48.16,69.55,72.06,S
96.86,42.52,47.58,20.0,100.0,71.31,S
68.42,63.95,72.72,65.64,100.0,81.81,B
68.02,53.77,52.14,24.96,70.8,86.75,S
65.8,48.85,90.32,26.62,28.64,57.71,S
51.89,72.72,52.79,53.17,93.06,64.63,C
86.63,95.23,50.89,74.21,65.16,88.86,B
51.43,32.09,52.17,38.44,59.67,71.71,W
85.8,56.85,43.52,50.27,54.62,60.99,S
50.8,66.39,48.63,79.26,41.05,66.87,C
100.0,46.21,55.27,31.25,43.03,98.21,S
77.57,67.67,26.07,65.89,93.15,92.24,C
85.02,42.41,66.26,72.69,34.11,58.18,C
88.32,82.52,29.03,75.49,71.91,86.72,B
65.48,77.9,76.88,50.27,70.36,65.27,C
99.77,62.59,41.56,42.25,72.54,86.3,C
54.96,100.0,66.17,68.26,68.06,75.29,B
72.78,85.36,59.84,74.88,61.32,77.93,B
62.94,89.33,43.33,50.85,63.7,69.69,C
85.84,58.67,87.88,39.99,73.39,63.36,C
81.31,64.68,56.9,84.15,56.91,83.8,B
63.47,67.25,36.09,43.42,68.36,100.0,S
76.51,98.09,64.41,49.48,100.0,81.56,B
65.36,74.41,54.15,20.0,88.72,91.42,S
100.0,73.44,55.03,76.37,87.0,99.57,B
74.33,61.69,45.69,69.82,39.03,86.64,C
83.82,76.7,62.76,91.73,87.44,65.89,B
66.16,47.41,71.03,36.0,91.67,94.84,S
61.81,61.29,60.33,77.45,100.0,49.72,C
70.23,59.68,31.99,47.33,78.56,70.82,S
51.83,100.0,65.32,60.46,48.04,78.91,C
72.54,27.23,38.59,75.49,100.0,80.51,S
91.55,61.88,58.27,82.0,100.0,94.52,B
59.0,63.66,65.55,52.29,77.76,87.31,C
90.04,98.72,53.41,27.99,77.16,100.0,C
67.85,78.74,73.91,62.21,70.14,61.15,B
40.78,42.76,52.19,82.14,67.94,67.21,S
61.64,78.14,87.17,81.4,82.12,52.87,B
69.72,100.0,82.44,24.17,68.89,80.45,C
63.57,20.0,61.98,40.67,54.32,69.68,W
72.99,64.82,42.32,53.16,34.85,79.67,S
32.16,59.21,78.38,34.69,84.33,92.34,S
30.0,61.97,20.0,55.4,69.86,37.76,W
100.0,70.72,43.02,90.24,34.09,56.56,B
40.51,100.0,66.65,72.51,76.02,83.61,B
76.17,70.42,62.15,44.61,69.07,79.1,C
76.66,35.44,33.1,81.82,63.86,83.77,S
58.62,35.54,43.13,53.1,56.7,94.41,W
77.69,100.0,68.09,20.0,91.12,52.36,C
78.46,49.51,100.0,89.67,55.16,73.09,B
78.67,82.27,60.58,35.45,55.65,74.93,C
93.52,73.56,44.53,72.26,62.26,88.36,B
100.0,57.82,76.03,41.6,67.75,75.44,C
72.09,100.0,53.87,70.91,31.4,81.48,B
92.13,54.45,20.0,57.15,70.34,85.86,S
100.0,57.4,42.87,32.33,73.96,82.19,S
66.82,80.57,69.31,58.95,51.95,67.77,C
38.55,69.72,60.53,62.15,80.09,80.79,C
73.34,65.97,31.91,45.16,71.01,63.96,S
87.9,51.83,64.33,60.56,84.93,88.51,C
85.41,22.88,83.88,91.6,60.36,78.55,C
61.64,26.03,45.23,46.12,62.9,60.62,W
64.0,64.78,44.6,69.96,83.63,100.0,C
91.89,69.86,47.59,64.46,76.53,67.3,C
86.76,37.04,55.11,70.23,64.25,71.9,C
72.93,48.29,83.48,35.6,76.36,81.2,C
60.77,66.46,41.81,88.6,47.22,65.19,C
56.64,37.85,91.82,69.94,72.81,65.15,C
88.61,48.52,75.87,38.8,57.11,86.37,C
87.96,76.95,39.01,48.17,73.14,62.26,C
95.56,20.0,44.43,46.79,13.12,54.06,W
84.38,65.61,91.46,91.99,78.66,79.7,A
75.99,20.0,32.11,60.21,82.32,79.35,S
61.61,83.75,89.65,78.64,89.79,66.61,A
91.14,67.92,70.23,66.04,67.57,62.1,B
73.77,84.74,51.17,77.65,84.74,70.52,B
95.83,57.89,90.19,67.55,69.68,61.68,B
73.68,60.92,34.83,53.21,53.92,83.79,S
94.59,40.46,94.25,55.17,50.5,86.37,C
68.3,63.37,51.91,40.03,84.48,70.71,S
53.45,76.02,35.89,32.63,93.85,57.05,S
40.25,77.46,53.92,53.21,63.71,78.48,S
63.71,94.52,30.48,67.79,82.84,63.61,C
59.64,85.34,40.18,44.65,87.75,75.52,C
48.04,99.94,49.4,49.14,75.12,84.38,C
100.0,31.8,76.52,74.35,67.26,86.81,C
89.01,37.36,95.0,23.71,47.29,71.07,S
100.0,58.83,59.36,89.51,63.99,57.32,B
68.74,92.42,61.42,100.0,84.76,65.33,A
75.77,47.94,46.63,100.0,90.37,87.92,B
65.65,96.39,81.99,99.4,100.0,52.81,A
58.35,44.92,41.12,65.12,58.66,100.0,S
100.0,64.87,99.11,90.74,60.99,44.86,A
71.73,52.11,64.13,59.96,71.26,82.86,C
56.81,73.23,51.21,62.4,89.15,56.63,C
70.78,62.63,49.71,77.8,55.59,66.67,C
64.35,86.84,50.15,68.12,100.0,73.88,B
91.68,98.43,80.54,57.63,82.84,55.69,B
63.3,52.91,100.0,40.12,53.45,59.34,C
83.4,67.85,81.74,72.77,42.39,62.89,B
95.48,60.93,83.75,54.71,50.65,70.45,C
60.48,53.69,64.02,69.26,38.2,74.74,C
66.2,52.03,62.65,45.89,97.64,92.82,C
92.73,55.1,40.75,59.8,66.99,65.87,C
57.36,64.17,51.92,73.14,83.3,91.51,C
56.11,73.02,45.45,31.15,61.43,91.03,S
69.42,96.31,70.98,49.33,93.2,81.68,B
61.01,100.0,65.19,58.41,52.89,92.69,B
82.76,77.58,49.85,76.35,88.24,64.97,B
53.75,76.63,28.53,61.34,61.06,93.28,S
69.11,87.15,49.72,80.0,100.0,58.98,B
79.38,100.0,61.33,59.36,85.77,75.62,B
49.39,87.65,20.0,48.83,94.15,69.65,S
64.59,82.59,42.98,31.11,75.49,72.26,S
56.34,77.74,69.29,50.09,64.17,82.06,C
92.86,59.34,73.09,70.43,87.59,75.59,B
61.32,55.75,66.86,98.01,60.32,87.07,B
70.08,67.21,90.31,74.81,45.17,66.41,B
93.84,67.84,37.02,39.98,84.07,89.92,C
75.27,100.0,76.48,52.64,53.69,60.38,B
80.03,55.22,93.47,90.26,82.66,57.32,B
64.92,90.11,48.74,82.69,79.49,75.78,B
64.46,63.12,63.79,80.72,52.29,71.06,C
75.67,78.25,41.83,29.04,83.48,52.23,S
94.27,61.88,29.05,47.43,77.58,67.01,S
75.3,79.8,55.96,37.38,64.02,96.22,C
100.0,24.6,81.82,63.5,88.48,66.74,C
48.48,76.69,41.18,27.46,43.63,84.01,S
77.09,80.65,73.38,48.74,68.59,67.33,C
71.85,45.65,67.81,81.65,53.67,94.22,C
76.7,69.82,26.01,20.0,72.88,86.85,S
64.93,98.4,74.7,38.02,70.62,100.0,B
56.36,75.57,53.55,73.55,95.35,69.21,C
91.78,100.0,61.33,75.27,58.19,75.29,B
72.35,80.94,84.09,55.59,100.0,97.95,B
87.7,54.68,47.76,40.13,88.98,56.82,S
85.15,43.38,76.47,58.38,96.67,92.12,C
96.53,94.22,62.87,32.51,48.95,43.7,C
58.75,66.38,48.81,54.04,79.85,70.44,C
58.17,63.94,42.03,52.04,96.86,70.94,S
100.0,93.63,48.41,33.56,68.95,92.3,C
67.65,83.16,84.17,40.97,56.48,85.69,C
77.28,51.28,52.96,56.45,38.7,86.48,S
67.82,20.0,59.52,41.69,100.0,66.22,S
58.54,75.16,46.79,40.85,80.19,59.39,S
53.14,99.52,71.59,52.19,69.93,82.59,B
89.6,49.88,67.32,46.85,66.22,77.41,C
74.9,79.71,69.74,24.82,42.84,69.45,S
100.0,47.97,55.84,46.2,58.92,77.67,S
96.01,74.12,43.93,100.0,71.57,66.34,B
96.18,55.62,93.26,38.85,98.6,78.02,B
94.37,100.0,37.35,86.07,41.82,59.29,B
62.95,75.07,60.66,54.32,72.92,83.87,C
85.02,86.88,96.4,57.53,59.58,84.2,B
57.84,51.43,79.99,55.27,45.84,52.65,S
75.73,87.84,82.57,60.44,100.0,73.43,B
72.92,20.0,51.05,76.74,100.0,62.55,S
81.93,85.94,60.22,20.0,74.95,86.42,C
60.79,59.92,36.89,20.0,90.54,74.94,W
98.97,82.15,52.92,56.17,81.32,89.5,B
79.84,87.11,54.07,36.06,68.7,78.08,C
56.98,38.27,68.95,49.06,66.68,69.6,S
97.81,90.24,35.25,46.28,87.0,84.03,C
74.38,42.25,46.35,46.63,75.54,100.0,S
64.7,44.48,57.83,80.7,41.06,96.8,C
72.42,50.31,28.0,73.54,66.58,77.56,S
61.49,58.62,50.27,55.79,56.61,51.99,S
100.0,37.73,63.63,20.0,30.06,76.47,W
77.62,90.23,67.99,54.7,51.01,97.49,B
88.93,40.07,60.76,61.17,63.09,86.58,C
87.48,61.19,54.38,90.98,88.66,76.09,B
50.56,71.88,73.96,20.0,75.04,68.75,S
71.69,46.85,57.04,88.62,61.07,89.48,C
62.91,80.18,60.03,65.74,70.14,84.62,C
36.49,36.6,68.34,20.0,59.39,74.18,W
62.58,51.17,65.43,80.2,50.83,66.37,C
64.03,20.0,62.83,78.56,90.33,61.94,S
56.22,65.43,76.59,61.41,75.79,92.13,C
63.91,60.6,92.69,53.67,44.65,64.96,C
60.93,72.14,42.08,63.96,55.28,43.15,S
79.6,67.97,70.36,43.19,54.41,81.02,C
97.79,65.22,68.49,50.93,39.13,89.51,C
88.63,79.22,56.36,71.14,87.88,99.3,B
89.83,66.28,33.83,61.42,75.13,85.64,C
95.31,63.1,100.0,20.0,78.39,63.02,C
46.39,60.96,30.86,54.45,70.7,91.78,S
52.39,83.17,61.96,80.63,61.36,55.02,B
56.74,39.16,69.56,90.49,58.7,84.44,C
52.15,68.61,73.37,26.14,65.92,85.74,S
30.99,91.71,67.07,73.77,61.75,49.16,C
83.01,63.35,60.64,81.93,85.24,100.0,B
77.31,51.18,56.23,67.14,90.32,52.99,C
75.13,97.19,55.2,78.48,79.86,89.34,B
62.85,48.89,60.41,24.29,64.61,78.79,S
100.0,73.05,72.5,83.62,50.71,72.52,B
100.0,63.42,82.33,79.2,40.44,79.66,B
77.2,71.6,44.92,33.43,60.48,73.53,S
92.77,100.0,87.93,76.92,49.91,68.87,A
78.15,52.35,71.54,73.85,80.73,90.38,B
61.43,83.66,46.09,37.3,80.64,93.24,C
82.32,65.42,66.2,61.0,47.48,56.36,C
73.82,66.6,60.23,72.87,65.69,83.44,C
72.83,100.0,61.61,100.0,77.04,71.79,A
61.51,36.14,40.17,38.65,77.9,67.11,W
77.8,90.64,58.24,100.0,46.48,72.74,B
66.91,83.73,20.0,26.25,67.85,98.27,S
78.39,37.97,36.06,94.81,57.58,60.86,C
97.16,85.22,85.48,37.1,39.5,77.0,B
80.03,72.29,89.56,20.0,87.19,58.55,C
87.84,55.5,43.72,44.58,41.09,75.61,S
63.41,80.73,72.8,95.14,77.33,82.81,B
96.0,52.45,30.23,62.4,41.55,100.0,S
96.83,100.0,61.25,70.11,60.81,88.24,B
56.77,20.0,44.19,25.98,99.56,100.0,W
53.96,90.83,79.03,23.46,62.19,66.3,C
86.22,40.42,58.02,42.91,79.47,71.75,S
66.97,60.73,100.0,48.83,49.18,83.75,C
72.85,36.7,100.0,50.25,62.44,77.4,C
100.0,31.41,65.52,100.0,72.57,56.47,B
65.72,69.14,86.62,50.53,86.53,53.47,C
53.34,55.34,88.76,59.52,75.8,79.17,C
91.64,52.8,73.77,39.72,100.0,62.99,C
61.76,75.99,61.6,65.19,74.55,58.64,C
99.2,82.87,87.18,46.38,78.33,77.96,B
91.92,88.2,63.86,24.61,100.0,83.34,C
65.87,73.13,29.78,81.22,40.58,71.69,C
78.67,85.78,62.13,71.97,69.44,74.52,B
76.28,61.22,26.27,41.1,74.9,71.26,S
72.66,58.53,42.73,47.15,63.86,75.08,S
80.9,61.39,39.41,27.24,100.0,58.05,S
67.22,75.34,67.22,69.46,61.15,78.58,C
75.92,58.76,64.91,81.22,69.56,74.77,B
91.02,84.23,91.68,20.0,88.1,84.02,B
61.72,70.03,81.02,39.76,78.85,88.07,C
58.93,62.15,66.02,40.49,52.42,72.97,S
87.02,77.87,42.77,72.35,53.28,50.85,C
69.49,87.46,73.12,57.97,61.67,69.15,B
76.63,43.63,53.04,53.26,42.98,62.42,S
81.16,65.19,53.82,37.95,100.0,62.43,C
78.77,55.24,60.73,68.07,42.59,74.9,C
92.86,100.0,57.4,58.92,100.0,92.02,B
65.74,52.62,79.13,35.76,91.75,80.01,C
82.77,59.87,47.4,90.16,65.07,68.84,C
73.8,68.86,39.38,45.57,57.64,87.68,S
61.71,29.88,20.66,25.65,97.23,75.24,W
82.52,75.73,61.12,56.35,90.89,77.19,B
95.99,77.42,47.64,47.06,55.45,93.26,C
68.92,49.03,66.4,55.86,75.89,100.0,C
88.7,65.54,31.83,47.0,84.22,57.43,S
100.0,65.29,60.98,43.33,79.93,57.63,C
100.0,91.35,79.69,27.41,74.11,93.14,B
83.9,44.96,47.0,48.06,57.93,97.93,S
46.18,78.12,34.15,36.85,29.81,66.76,W
97.66,70.3,36.03,80.38,94.63,76.56,B
100.0,81.43,73.65,40.33,82.55,78.25,B
82.8,51.31,62.56,40.03,27.06,89.97,S
52.46,67.14,66.66,65.18,64.34,79.07,C
82.06,79.7,94.67,63.15,71.28,61.4,B
81.54,78.35,56.15,69.98,64.15,85.06,B
88.69,82.97,62.36,35.12,57.76,83.93,C
100.0,58.19,69.12,45.77,50.52,64.86,C
43.76,92.07,20.0,52.2,46.44,61.73,S
95.65,69.02,40.69,45.03,54.69,74.35,C
77.59,100.0,21.67,57.23,63.69,89.2,C
80.32,76.81,66.9,37.5,94.23,86.98,C
88.73,90.28,68.35,90.58,77.55,71.71,A
74.9,64.52,49.61,93.9,75.93,76.42,B
80.82,100.0,37.37,39.41,42.39,71.51,C
78.68,55.69,49.21,61.13,59.96,79.65,C
91.71,78.54,77.62,81.89,75.66,72.62,A
63.42,57.18,49.53,74.1,76.94,85.45,C
57.59,93.63,51.46,33.8,61.22,100.0,C
69.18,58.5,56.16,54.73,54.37,77.15,S
91.13,71.29,37.78,50.42,58.97,75.79,C
94.96,62.02,58.24,97.11,87.52,83.61,B
100.0,74.8,20.27,76.32,38.16,81.78,C
49.29,55.66,52.72,41.06,63.02,90.49,S
64.29,75.9,40.69,53.83,76.48,60.05,C
55.32,74.84,82.46,56.26,60.85,77.34,C
75.83,69.86,20.0,34.48,53.1,77.26,S
77.79,77.72,65.15,29.38,98.94,94.08,C
56.13,71.65,48.09,61.06,91.07,100.0,C
86.27,70.9,53.2,62.01,97.2,74.33,B
61.71,32.61,70.26,63.44,57.08,90.39,S
68.67,62.31,59.67,50.28,74.72,92.27,C
57.86,74.77,63.44,61.38,87.44,75.74,C
82.2,79.32,49.91,64.58,64.98,73.01,C
70.17,74.42,61.63,66.68,69.65,50.94,C
75.47,66.27,64.85,44.94,46.09,84.37,C
70.9,68.42,54.37,57.87,61.01,60.48,C
82.11,52.94,63.28,67.03,58.26,56.94,C
100.0,54.44,72.47,100.0,85.8,70.49,A
73.99,48.35,77.63,70.46,59.71,59.37,C
55.18,84.73,62.41,62.73,53.54,53.05,C
89.44,65.84,78.14,49.51,65.26,85.7,C
85.99,80.95,54.1,71.52,92.18,73.43,B
67.3,91.85,46.91,71.85,68.83,47.38,C
91.93,20.0,20.32,69.6,80.54,65.44,S
77.22,20.0,74.14,63.49,69.09,75.31,S
82.4,64.42,22.52,100.0,94.02,55.73,B
69.82,60.28,81.58,20.0,60.02,48.59,S
70.72,55.55,61.59,44.69,54.98,84.29,S
81.82,76.03,56.46,45.42,67.62,82.52,C
42.35,72.88,66.18,59.37,67.01,36.51,C
68.4,100.0,60.26,51.24,70.34,80.32,B
84.88,60.42,68.5,94.89,90.13,100.0,B
65.15,98.52,44.19,65.78,84.65,67.34,B
76.32,83.21,45.79,94.73,42.31,100.0,B
90.02,63.21,51.95,46.85,67.28,74.27,C
93.83,100.0,63.99,39.4,59.09,72.25,B
59.55,41.42,100.0,64.66,53.34,87.25,C
57.32,43.08,43.94,94.4,64.94,38.37,C
93.15,58.87,23.01,51.03,80.42,81.06,S
100.0,47.94,60.93,42.61,39.16,88.28,S
81.95,70.67,68.54,42.92,49.89,75.56,C
92.42,97.16,75.91,58.64,75.4,75.17,B
59.61,65.49,33.3,55.27,100.0,87.34,C
61.15,63.55,43.31,56.62,90.82,84.8,C
100.0,88.85,64.08,72.9,65.95,58.09,B
94.59,85.18,55.18,64.03,94.82,87.7,B
53.05,69.87,56.65,82.49,90.62,94.78,B
58.23,49.32,82.28,44.98,39.57,82.99,S
66.79,100.0,65.92,61.53,62.62,98.86,B
80.38,56.83,44.12,56.38,50.45,90.43,S
47.87,62.21,72.2,65.53,55.65,84.9,C
61.71,64.55,73.04,68.18,56.5,92.96,C
76.3,79.86,90.58,82.59,92.4,77.89,A
86.91,69.27,35.81,64.66,75.13,83.76,C
73.08,49.77,73.13,29.11,99.18,71.53,S
78.68,76.17,71.81,27.0,86.48,79.55,C
65.47,50.01,53.32,29.43,100.0,97.29,S
81.78,60.53,56.06,74.68,100.0,66.44,B
58.24,95.95,24.26,35.81,65.06,51.59,S
91.68,82.14,48.5,86.15,98.99,73.3,B
68.24,100.0,74.42,63.64,97.27,79.53,B
67.42,66.6,80.77,20.0,64.24,95.75,S
67.32,95.92,88.29,56.56,58.63,70.69,B
100.0,100.0,62.51,44.62,72.34,78.66,B
56.35,66.6,86.45,20.0,86.53,95.62,C
66.59,98.88,46.19,67.7,63.86,70.4,B
65.74,78.97,76.98,56.58,42.8,81.05,C
81.33,60.67,97.34,23.59,25.65,64.04,S
85.66,43.88,40.38,78.92,79.25,80.66,C
86.72,56.5,52.42,75.82,43.1,42.86,C
68.5,83.62,65.11,76.86,29.67,79.73,B
84.81,37.98,77.24,55.55,100.0,42.34,C
95.54,57.12,27.66,46.41,75.55,90.56,S
100.0,93.44,40.69,82.86,77.83,65.18,B
71.82,50.8,60.74,41.95,49.44,82.19,S
84.43,61.25,87.35,52.27,63.94,84.91,C
73.01,66.7,20.0,58.37,33.46,56.69,S
54.97,44.15,49.02,47.3,83.29,78.34,S
46.48,66.67,66.37,50.77,68.78,77.85,C
86.47,33.5,55.11,91.18,98.33,87.76,C
83.05,98.09,98.36,55.16,50.61,70.95,B
100.0,33.61,50.59,26.92,72.5,56.96,S
73.37,26.0,72.35,84.89,62.32,72.97,C
72.55,68.62,59.24,74.9,94.66,62.79,B
70.36,83.03,31.57,20.0,74.53,82.45,S
64.17,53.43,44.8,38.93,83.87,57.29,S
71.02,46.89,30.89,77.14,59.6,77.83,S
52.38,50.16,75.12,100.0,30.48,71.98,C
81.18,52.68,76.99,38.93,73.08,67.17,C
93.29,51.47,52.96,78.81,49.44,76.03,C
47.66,43.24,67.64,36.2,59.11,82.4,S
66.31,81.46,64.31,67.59,94.82,79.8,B
98.08,83.23,49.53,86.45,75.28,69.08,B
79.18,87.25,69.1,98.09,91.73,82.85,A
59.61,61.41,61.43,73.33,82.75,77.54,C
76.81,79.41,42.83,95.3,29.06,96.83,B
74.32,85.05,67.28,65.61,81.09,87.14,B
70.07,85.7,38.31,57.88,86.72,89.93,C
81.91,57.13,77.93,43.27,100.0,73.73,C
51.91,41.11,60.87,61.08,100.0,59.42,S
75.59,43.81,50.15,95.05,47.27,83.81,C
80.89,64.52,70.39,32.48,100.0,100.0,C
75.71,100.0,52.02,66.81,98.64,68.11,B
54.28,32.77,100.0,46.36,66.29,58.31,S
89.23,49.37,50.17,64.59,48.72,72.32,C
96.03,73.57,62.61,62.73,62.22,100.0,B
62.82,69.22,62.3,80.19,92.06,74.52,B
79.36,71.57,20.0,23.04,57.9,66.58,W
57.01,79.99,60.04,53.28,44.88,74.33,C
35.6,61.74,61.26,63.32,38.72,78.37,S
59.38,48.75,74.36,100.0,71.03,62.74,B
77.83,83.78,72.42,100.0,55.69,78.78,A
98.23,94.72,21.0,57.93,99.69,100.0,B
85.56,57.64,39.82,100.0,84.57,62.28,B
71.95,71.2,70.88,38.21,57.72,50.21,C
90.6,58.17,69.33,89.29,74.4,73.31,B
77.91,66.26,84.92,64.84,59.11,90.72,B
93.46,38.23,90.66,66.02,75.67,90.1,B
66.5,84.08,52.46,25.55,50.04,83.51,S
60.82,97.2,83.79,87.34,72.5,78.87,A
57.09,84.92,67.6,70.48,100.0,65.91,B
73.11,71.53,41.29,53.87,79.86,70.12,C
94.63,34.78,82.46,72.55,58.62,61.13,C
43.8,49.1,80.94,56.77,93.26,65.7,C
85.61,50.65,40.69,55.64,56.7,51.86,S
72.27,67.13,85.37,78.61,94.4,85.81,B
79.99,40.42,63.0,71.13,99.15,85.29,C
93.61,44.36,53.47,67.45,93.22,72.82,C
73.76,78.74,37.48,93.36,52.42,46.22,C
75.15,98.97,71.73,74.52,70.83,72.71,B
51.83,20.0,63.93,86.88,76.88,84.35,S
98.76,71.58,57.55,39.99,100.0,82.9,C
60.85,41.58,85.06,35.18,100.0,33.65,S
96.34,74.74,62.37,54.14,100.0,85.61,B
61.45,30.62,63.55,57.98,39.6,74.17,S
66.39,65.19,74.52,90.84,88.18,64.18,B
80.53,66.26,33.36,66.76,100.0,75.49,C
51.09,65.61,35.73,77.0,80.5,72.44,C
70.03,60.76,60.17,41.01,42.24,92.08,S
69.22,68.34,65.71,65.08,46.52,49.86,C
66.17,72.91,45.44,50.19,100.0,47.32,C
63.67,100.0,59.11,42.47,93.38,75.83,B
69.78,68.85,46.84,35.62,67.73,59.84,S
75.16,72.09,77.06,82.81,61.89,82.49,B
82.39,71.56,50.41,35.38,80.04,49.4,S
70.98,20.0,33.27,38.7,91.93,85.32,W
66.69,79.59,77.75,54.47,42.31,71.88,C
73.53,40.35,67.34,64.16,78.9,79.18,C
85.95,61.41,64.04,49.25,58.31,95.07,C
44.34,82.54,47.59,41.5,75.23,52.66,S
62.76,48.02,55.57,40.31,100.0,100.0,S
44.67,75.89,77.17,69.95,56.84,71.34,C
63.78,56.59,35.8,55.47,39.94,72.0,S
56.27,69.14,46.41,64.39,91.63,98.84,C
37.08,48.32,53.94,68.13,36.99,60.27,S
76.96,66.7,67.55,67.76,76.77,77.9,B
75.84,78.3,20.0,91.98,25.91,58.81,C
71.6,78.45,20.0,57.38,85.85,89.92,C
64.54,58.98,47.68,49.36,49.36,61.66,S
81.52,67.63,69.83,62.71,84.09,88.17,B
48.87,47.91,55.37,57.5,56.6,88.68,S
100.0,68.72,61.69,76.69,32.68,75.43,B
89.69,52.14,35.47,53.91,68.79,61.37,S
100.0,55.43,36.93,55.94,88.16,75.26,C
82.28,47.57,89.75,70.36,90.95,80.48,B
87.37,47.54,50.17,87.62,100.0,57.79,C
78.75,56.38,46.06,64.27,92.82,81.77,C
70.21,75.3,52.8,67.07,97.93,43.84,C
86.96,34.22,84.57,43.99,45.65,85.43,S
80.46,45.02,34.94,53.88,45.92,59.08,S
76.73,45.68,68.53,90.78,67.03,76.95,C
100.0,41.25,83.82,81.56,87.09,94.38,B
79.21,53.34,81.89,82.92,92.11,75.67,B
64.26,68.83,78.84,80.54,61.41,79.73,B
55.37,84.7,44.33,75.28,47.01,90.47,C
79.83,49.37,73.83,45.01,84.99,70.89,C
49.18,45.35,51.39,88.1,88.02,99.36,C
99.8,54.3,56.23,48.95,56.57,47.38,C
74.78,39.29,59.32,100.0,59.81,77.92,C
88.6,70.61,65.85,50.03,65.36,60.6,C
87.69,30.17,79.42,27.12,89.25,69.69,S
56.52,76.59,78.58,48.36,84.41,40.72,C
55.19,90.85,55.53,20.0,56.02,61.15,S
72.51,57.58,63.58,56.47,97.19,81.37,C
81.87,88.3,52.22,30.24,94.14,77.04,C
77.09,52.33,47.66,76.63,89.69,86.76,C
86.89,76.38,62.63,54.14,94.21,69.39,B
80.55,48.92,46.81,52.8,53.92,86.97,S
54.78,66.98,62.65,20.0,61.18,78.84,S
81.43,60.91,73.54,55.6,70.27,78.77,C
88.9,51.49,50.26,43.28,63.36,96.39,S
83.59,42.38,47.99,66.2,51.87,64.12,S
95.17,52.73,79.09,85.62,55.33,61.65,B
70.86,43.23,62.42,53.48,77.21,95.95,S
87.26,74.78,20.68,67.75,100.0,30.0,C
85.34,61.81,43.0,75.62,100.0,86.63,B
69.43,46.13,62.89,77.21,62.26,70.64,C
100.0,86.57,83.0,25.87,55.86,76.12,C
59.98,97.01,88.21,46.26,100.0,74.94,B
100.0,67.89,71.52,88.8,95.55,82.66,A
72.88,75.28,43.68,61.35,47.81,48.29,C
75.76,90.25,78.52,56.2,100.0,66.46,B
46.23,21.36,36.38,75.97,57.3,81.91,W
99.69,43.0,69.57,69.86,52.79,95.31,C
70.68,57.32,100.0,69.5,88.51,95.32,B
65.24,90.0,49.96,46.02,64.56,65.67,C
87.33,70.34,50.18,72.84,64.5,70.08,C
75.73,74.27,67.8,50.01,86.94,71.66,C
65.18,35.64,79.66,58.27,74.22,90.69,C
